App,Agent Auth,Agent Self-Serve,Agent API,Agent MCP,Agent Buildability,Agent Confidence,Evidence URL,Human Auth,Human Self-Serve,Human API,Human MCP,Human Buildability,Correct,Notes
Plaid,OAuth2; Other,Free self-serve,REST; SDK,No,READY,High,https://plaid.com/docs/api/,,,,,,,
Pylon,OAuth2; Bearer Token,Partner/contact-sales,REST,Yes,READY,High,https://docs.usepylon.com/pylon-docs/developer/api/authentication,,,,,,,
Attio,OAuth2; Bearer Token; Basic Auth,Free self-serve,REST,No,READY,High,https://docs.attio.com/rest-api/guides/authentication,,,,,,,
Reducto,Bearer Token,Free self-serve,REST; SDK; CLI,Yes,READY,High,https://reducto.ai/developers,,,,,,,
Klaviyo,OAuth2; Private Key; Public Key,Free self-serve,REST,No,READY,High,https://developers.klaviyo.com/en/docs/authenticate_,,,,,,,
Meta Ads,Bearer Token,Partner/contact-sales,REST,No,READY_WITH_REVIEW,High,https://developers.facebook.com/docs/marketing-api/get-started/authentication/,,,,,,,
Aircall,Basic Auth; OAuth2,Partner/contact-sales,REST,Yes,READY,High,https://developer.aircall.io/docs/authentication,,,,,,,
Help Scout,OAuth2; Basic Auth,Free self-serve,REST,No,READY,High,https://developer.helpscout.com/mailbox-api/overview/authentication/,,,,,,,
Front,OAuth2; Bearer Token,Trial self-serve,REST,Yes,READY,High,https://dev.frontapp.com/docs/authentication,,,,,,,
Xero,OAuth2,Free self-serve,REST; Other,Yes,READY,High,https://developer.xero.com/faq,,,,,,,
Sentry,Bearer Token; OAuth2,Free self-serve,REST,Yes,READY,High,https://docs.sentry.io/api/auth/,,,,,,,
Intercom,OAuth2; Bearer Token,Free self-serve,REST,No,READY,High,https://intercom-developer-hub.readme.io/docs/personal-access-tokens,,,,,,,
Monday.com,Bearer Token; OAuth2; JWT,Free self-serve,GraphQL,Yes,READY,High,https://developer.monday.com/api-reference/docs/authentication,,,,,,,
Apify,Bearer Token; OAuth2,Free self-serve,REST,Yes,READY,High,https://docs.apify.com/platform/integrations/api,,,,,,,
Twenty,OAuth2; API Key; JWT,Free self-serve,REST; GraphQL,No,READY,High,https://docs.twenty.com/developers/extend/oauth,,,,,,,
WhatsApp Business,Bearer Token,Free self-serve,REST,No,READY,High,https://developers.facebook.com/docs/whatsapp/,,,,,,,
Vonage,Basic Auth; JWT,Free self-serve,REST,No,READY,High,https://developer.vonage.com/en/getting-started/concepts/authentication,,,,,,,
Supabase,Bearer Token; OAuth2; JWT,Free self-serve,REST,Yes,READY,High,https://supabase.com/docs/reference/api/introduction,,,,,,,
Coda,Bearer Token; OAuth2,Free self-serve,REST,Yes,READY,High,https://coda.io/@oleg/getting-started-guide-coda-api/start-here-5,,,,,,,
Airtable,Bearer Token; OAuth2,Free self-serve,REST,No,READY,High,https://airtable.com/developers/web/api/authentication,,,,,,,
